max_temp,min_temp,mean_temp,global_radiation,pressure,cloud_cover,sunshine
7.814,-9.724,-0.9550000000000001,55.4,102885.0,6.0,10.0
29.074,17.853,23.463500000000003,150.8,99372.4,3.0,12.3
4.52,-16.477,-5.9785,38.7,104477.4,6.0,8.6
7.975,-11.376999999999999,-1.7009999999999996,87.4,103966.9,2.0,12.8
6.033,-0.2200000000000002,2.9065000000000003,75.0,100469.0,5.0,12.0
4.079,-14.928999999999998,-5.424999999999999,57.6,106019.7,1.0,10.6
-1.187,-22.060000000000002,-11.623500000000002,41.5,101844.8,2.0,9.1
18.755,4.975,11.864999999999998,98.9,106383.4,4.0,11.3
4.98,-15.395,-5.2075,84.0,104162.5,1.0,12.8
24.49,16.313,20.4015,119.9,102020.9,5.0,11.8
22.473,12.714,17.5935,153.5,103270.0,4.0,14.5
-6.229,-25.055,-15.642,76.7,101159.3,3.0,12.1
5.984,-17.355,-5.6855,74.2,102252.2,2.0,11.9
7.576,-19.817,-6.1205,86.2,102395.2,6.0,12.7
10.292,11.068,10.68,96.6,100929.3,1.0,13.2
5.483,-10.84,-2.6785,78.2,100858.8,3.0,12.3
34.289,6.5,20.3945,169.3,104599.5,3.0,10.4
9.017,-10.167000000000002,-0.5750000000000011,53.4,97813.5,3.0,9.6
32.719,13.629000000000001,23.174,162.9,102552.1,5.0,11.5
6.655,-6.075,0.29000000000000004,46.6,99075.4,2.0,9.2
18.268,4.874,11.571,145.3,105837.5,1.0,15.1
14.138,12.440000000000001,13.289000000000001,106.4,106289.9,0.0,13.3
13.524,-11.18,1.1719999999999997,109.2,102212.4,3.0,13.7
-11.054,-38.484,-24.769000000000002,63.7,99224.2,2.0,10.3
17.408,5.649,11.528500000000001,101.6,102416.3,7.0,12.1
-28.755,-44.327,-36.541,108.5,96843.6,4.0,7.3
13.22,-5.827,3.6965000000000003,99.9,105978.2,5.0,13.0
-5.803,-16.756999999999998,-11.28,42.6,100573.6,4.0,8.9
-7.883,-13.232999999999999,-10.558,92.7,99672.6,2.0,13.2
19.306,9.578,14.442,149.9,103363.3,2.0,15.1
2.265,-12.879000000000001,-5.307,93.0,106642.0,5.0,13.6
15.012,-3.213000000000001,5.8995,76.3,106083.7,1.0,10.5
11.259,-18.945,-3.843,71.1,98550.5,4.0,10.9
11.05,-4.992000000000001,3.029,85.2,104649.9,5.0,12.1
26.143,5.732999999999999,15.937999999999999,176.4,105089.1,1.0,15.2
10.482,-8.075,1.2035,75.9,101169.5,3.0,11.4
31.665,7.360000000000001,19.5125,180.8,100052.9,5.0,13.7
12.011,9.224,10.6175,73.2,104167.1,2.0,10.9
35.124,35.001999999999995,35.063,242.8,103341.7,5.0,16.2
8.542,-25.189,-8.3235,35.8,97415.2,3.0,7.7
35.056,27.927,31.4915,169.2,99407.2,7.0,11.5
-11.023,-16.018,-13.5205,109.6,101955.9,6.0,14.0
5.676,-11.385000000000002,-2.8545000000000007,54.7,99803.3,4.0,10.2
12.156,1.5060000000000002,6.831,77.3,101291.1,6.0,11.3
2.309,-8.017,-14.239,68.9,102356.1,4.0,11.7
37.239,33.125,35.182,191.7,100556.0,5.0,10.8
12.196,-13.674,-0.7389999999999999,90.0,107065.6,2.0,12.3
5.926,5.7459999999999996,5.836,56.1,101200.9,6.0,10.3
15.376,4.979,10.1775,79.3,99461.1,4.0,10.8
-7.332,-33.586,-20.459,90.4,103130.8,6.0,13.1
-13.347,-13.567,-13.457,64.5,98287.2,2.0,9.9
9.276,-3.512,2.8819999999999997,108.8,104308.2,1.0,14.2
12.965,0.657,6.811,74.6,102559.9,1.0,10.8
5.723,2.258,3.9905,92.7,100059.1,3.0,13.4
3.2,-19.7,-8.25,48.0,98054.5,5.0,9.7
19.021,0.5750000000000011,9.798000000000002,124.9,99763.5,4.0,13.5
2.701,-16.695,-6.997,51.7,98113.6,1.0,10.1
1.028,-16.385,-7.6785000000000005,55.2,104913.2,3.0,10.5
10.798,-13.529,-1.3655,80.4,104089.7,4.0,11.8
-9.643,-23.522,-16.5825,54.1,97475.7,5.0,9.6
-4.604,-25.207,-14.9055,78.9,106928.2,4.0,12.4
-4.405,-17.898,-11.1515,76.3,102900.6,3.0,12.2
12.824,-18.820999999999998,-2.998499999999999,109.3,105102.9,1.0,13.7
5.799,-3.119,1.34,96.9,100549.8,6.0,13.7
26.488,4.725,15.6065,135.2,102714.5,3.0,12.0
9.298,-0.8729999999999999,4.2125,118.8,103916.8,6.0,14.9
24.78,-2.9930000000000003,10.8935,113.5,104274.4,5.0,10.4
19.564,0.7430000000000003,10.153500000000001,77.2,97874.4,4.0,9.2
3.411,-16.099,-6.344,63.8,102833.6,4.0,11.2
16.089,3.37,9.7295,128.0,108077.0,4.0,14.5
6.852,-15.937,-4.5424999999999995,84.6,105986.6,4.0,12.7
39.287,21.751,30.519,197.9,101374.0,1.0,10.6
6.726,-20.375,-6.8245000000000005,90.9,101491.9,4.0,13.2
15.803,5.407,10.605,81.9,104042.8,5.0,10.8
8.217,-14.129,-2.9559999999999995,45.8,102052.9,3.0,8.9
11.681,3.0940000000000003,7.387499999999999,71.0,104555.0,2.0,10.8
7.336,-9.109,-0.8864999999999998,92.0,106533.5,5.0,13.2
7.507,-20.845,-6.669,73.8,99360.9,5.0,11.7
27.382,3.6519999999999992,15.517,171.3,101142.0,4.0,14.4
-6.296,-7.864999999999999,-7.0805,92.2,107473.9,2.0,13.3
9.563,-19.627000000000002,-5.032000000000001,52.3,99732.1,5.0,9.3
10.027,-9.872,0.07749999999999968,74.5,101837.4,1.0,11.4
3.084,-16.814,-6.865,92.0,105841.3,5.0,13.5
-4.715,-15.21,-9.9625,44.5,97509.2,5.0,9.2
9.867,-13.119,-1.6259999999999994,84.9,103652.9,4.0,12.3
7.313,-14.780999999999999,-3.7339999999999995,52.7,98225.3,1.0,9.8
32.939,28.644999999999996,30.791999999999998,154.8,103276.7,3.0,11.1
5.127,-27.961,-11.417,47.3,103029.6,1.0,9.5
6.742,-13.097,-3.1774999999999998,84.5,100296.6,3.0,12.7
-2.55,-16.639,-9.5945,79.9,103762.4,2.0,12.6
